symbol,name,sector,industry,market,index_name,active,start_date,end_date
MMM,3M,Industrials,Industrial Conglomerates,US,S&P 500,True,2026-01-20,
AOS,A. O. Smith,Industrials,Building Products,US,S&P 500,True,2026-01-20,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,S&P 500,True,2026-01-20,
ABBV,AbbVie,Health Care,Biotechnology,US,S&P 500,True,2026-01-20,
ACN,Accenture,Information Technology,IT Consulting & Other Services,US,S&P 500,True,2026-01-20,
ADBE,Adobe Inc.,Information Technology,Application Software,US,S&P 500,True,2026-01-20,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,US,S&P 500,True,2026-01-20,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,US,S&P 500,True,2026-01-20,
AFL,Aflac,Financials,Life & Health Insurance,US,S&P 500,True,2026-01-20,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,US,S&P 500,True,2026-01-20,
APD,Air Products,Materials,Industrial Gases,US,S&P 500,True,2026-01-20,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,S&P 500,True,2026-01-20,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,US,S&P 500,True,2026-01-20,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,US,S&P 500,True,2026-01-20,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,US,S&P 500,True,2026-01-20,
ALGN,Align Technology,Health Care,Health Care Supplies,US,S&P 500,True,2026-01-20,
ALLE,Allegion,Industrials,Building Products,US,S&P 500,True,2026-01-20,
LNT,Alliant Energy,Utilities,Electric Utilities,US,S&P 500,True,2026-01-20,
ALL,Allstate,Financials,Property & Casualty Insurance,US,S&P 500,True,2026-01-20,
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,US,S&P 500,True,2026-01-20,
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,US,S&P 500,True,2026-01-20,
MO,Altria,Consumer Staples,Tobacco,US,S&P 500,True,2026-01-20,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,US,S&P 500,True,2026-01-20,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,US,S&P 500,True,2026-01-20,
AEE,Ameren,Utilities,Multi-Utilities,US,S&P 500,True,2026-01-20,
AEP,American Electric Power,Utilities,Electric Utilities,US,S&P 500,True,2026-01-20,
AXP,American Express,Financials,Consumer Finance,US,S&P 500,True,2026-01-20,
AIG,American International Group,Financials,Multi-line Insurance,US,S&P 500,True,2026-01-20,
AMT,American Tower,Real Estate,Telecom Tower REITs,US,S&P 500,True,2026-01-20,
AWK,American Water Works,Utilities,Water Utilities,US,S&P 500,True,2026-01-20,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,US,S&P 500,True,2026-01-20,
AME,Ametek,Industrials,Electrical Components & Equipment,US,S&P 500,True,2026-01-20,
AMGN,Amgen,Health Care,Biotechnology,US,S&P 500,True,2026-01-20,
APH,Amphenol,Information Technology,Electronic Components,US,S&P 500,True,2026-01-20,
ADI,Analog Devices,Information Technology,Semiconductors,US,S&P 500,True,2026-01-20,
AON,Aon plc,Financials,Insurance Brokers,US,S&P 500,True,2026-01-20,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,US,S&P 500,True,2026-01-20,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,US,S&P 500,True,2026-01-20,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",US,S&P 500,True,2026-01-20,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,US,S&P 500,True,2026-01-20,
APP,AppLovin,Information Technology,Application Software,US,S&P 500,True,2026-01-20,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,US,S&P 500,True,2026-01-20,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,US,S&P 500,True,2026-01-20,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,US,S&P 500,True,2026-01-20,
ARES,Ares Management,Financials,Asset Management & Custody Banks,US,S&P 500,True,2026-01-20,
ANET,Arista Networks,Information Technology,Communications Equipment,US,S&P 500,True,2026-01-20,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,US,S&P 500,True,2026-01-20,
AIZ,Assurant,Financials,Multi-line Insurance,US,S&P 500,True,2026-01-20,
T,AT&T,Communication Services,Integrated Telecommunication Services,US,S&P 500,True,2026-01-20,
ATO,Atmos Energy,Utilities,Gas Utilities,US,S&P 500,True,2026-01-20,
ADSK,Autodesk,Information Technology,Application Software,US,S&P 500,True,2026-01-20,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,US,S&P 500,True,2026-01-20,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,US,S&P 500,True,2026-01-20,
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,US,S&P 500,True,2026-01-20,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,US,S&P 500,True,2026-01-20,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,US,S&P 500,True,2026-01-20,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,US,S&P 500,True,2026-01-20,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",US,S&P 500,True,2026-01-20,
BAC,Bank of America,Financials,Diversified Banks,US,S&P 500,True,2026-01-20,
BAX,Baxter International,Health Care,Health Care Equipment,US,S&P 500,True,2026-01-20,
BDX,Becton Dickinson,Health Care,Health Care Equipment,US,S&P 500,True,2026-01-20,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,US,S&P 500,True,2026-01-20,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,US,S&P 500,True,2026-01-20,
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,US,S&P 500,True,2026-01-20,
BIIB,Biogen,Health Care,Biotechnology,US,S&P 500,True,2026-01-20,
BLK,BlackRock,Financials,Asset Management & Custody Banks,US,S&P 500,True,2026-01-20,
